"Name","model_name","percentage","pruningType","bleu"
"worldly-wildflower-52","","0.6869256310304234","class-distribution","0.08569160496433358"
"chocolate-wind-50","","0.6623917355067864","class-distribution","0.1172689460158629"
"breezy-armadillo-47","","0.6366219999365219","class-distribution","0.13882400910307116"
"atomic-universe-45","","0.6096418516429297","class-distribution","0.1581808615896079"
"usual-galaxy-44","","0.5814851486398366","class-distribution","0.17471229672171884"
"fast-meadow-43","","0.5520793058376806","class-distribution","0.19507107258282683"
"cosmic-smoke-41","","0.5215001994512026","class-distribution","0.21196061723069015"
"earthy-salad-40","","0.48971338537579057","class-distribution","0.2290718858604877"
"efficient-sponge-39","","0.45685957048381887","class-distribution","0.24024425060245216"
"expert-deluge-38","","0.42303207846186697","class-distribution","0.25249798839040777"
"young-water-37","","0.38809827245683487","class-distribution","0.26026228753255576"
"vague-vortex-36","","0.35226206697809426","class-distribution","0.26685967238966746"
"lemon-lake-35","","0.31550547354692765","class-distribution","0.27372009011305537"
"true-silence-34","","0.2779374148815844","class-distribution","0.2766366923262925"
"vibrant-sky-33","","0.23964098062185496","class-distribution","0.2801020223971379"
"peach-pond-32","","0.20075566037463644","class-distribution","0.28140175916511745"
"pleasant-pine-31","","0.1612735193723743","class-distribution","0.2817579996908573"
"major-wind-30","","0.12127899977205576","class-distribution","0.2829974759104786"
"elated-snowflake-28","","0.04058831973362264","class-distribution","0.283290758860584"
"skilled-sea-26","","0.9","class-uniform","0.0020298453314221503"
"noble-morning-25","","0.9","class-blind","0.00008938970201746278"
"atomic-violet-24","","0.8","class-uniform","0.00789193767097017"
"young-firebrand-23","","0.8","class-blind","0.02003113017107615"
"gallant-fire-22","","0.7","class-uniform","0.09826420948796036"
"lemon-yogurt-21","","0.7","class-blind","0.11124294979842256"
"bright-cosmos-20","","0.6","class-uniform","0.18533441900954464"
"golden-blaze-19","","0.6","class-blind","0.20242019234340833"
"hopeful-aardvark-18","","0.5","class-uniform","0.2385148820005845"
"apricot-cloud-17","","0.5","class-blind","0.24538306633093815"
"rose-spaceship-16","","0.4","class-uniform","0.26404511650645635"
"swift-eon-15","","0.4","class-blind","0.26903420646950277"
"vital-pine-14","","0.3","class-uniform","0.2779726866900786"
"upbeat-frost-13","","0.3","class-blind","0.2787533814696365"
"winter-violet-12","","0.2","class-uniform","0.2823610030995167"
"scarlet-wood-11","","0.2","class-blind","0.28224545985576316"
"eternal-butterfly-10","","0.1","class-uniform","0.28309628139288956"
"crimson-energy-9","","0.1","class-blind","0.2827584910389831"
