,summary,config,name
28,"{'_wandb': {'runtime': 183}, '_runtime': 186.0030119419098, '_timestamp': 1698955550.531841, 'bleu': 0.21196061723069015, '_step': 0}","{'percentage': 0.5215001994512026, 'pruningType': 'class-distribution'}",cosmic-smoke-41
29,"{'bleu': 0.2290718858604877, '_step': 0, '_wandb': {'runtime': 181}, '_runtime': 182.7922041416168, '_timestamp': 1698955358.8029191}","{'percentage': 0.48971338537579057, 'pruningType': 'class-distribution'}",earthy-salad-40
30,"{'bleu': 0.24024425060245216, '_step': 0, '_wandb': {'runtime': 179}, '_runtime': 181.8260498046875, '_timestamp': 1698955165.8006835}","{'percentage': 0.45685957048381887, 'pruningType': 'class-distribution'}",efficient-sponge-39
31,"{'_wandb': {'runtime': 176}, '_runtime': 178.16864728927612, '_timestamp': 1698954976.7853873, 'bleu': 0.25249798839040777, '_step': 0}","{'percentage': 0.42303207846186697, 'pruningType': 'class-distribution'}",expert-deluge-38
32,"{'_step': 0, '_wandb': {'runtime': 178}, '_runtime': 181.0386426448822, '_timestamp': 1698954789.2825446, 'bleu': 0.26026228753255576}","{'percentage': 0.38809827245683487, 'pruningType': 'class-distribution'}",young-water-37
33,"{'_wandb': {'runtime': 175}, '_runtime': 177.15673732757568, '_timestamp': 1698954602.3237484, 'bleu': 0.26685967238966746, '_step': 0}","{'percentage': 0.35226206697809426, 'pruningType': 'class-distribution'}",vague-vortex-36
34,"{'bleu': 0.27372009011305537, '_step': 0, '_wandb': {'runtime': 175}, '_runtime': 177.10113430023193, '_timestamp': 1698954418.9386773}","{'percentage': 0.31550547354692765, 'pruningType': 'class-distribution'}",lemon-lake-35
35,"{'_timestamp': 1698954234.5240512, 'bleu': 0.2766366923262925, '_step': 0, '_wandb': {'runtime': 174}, '_runtime': 176.11739110946655}","{'percentage': 0.2779374148815844, 'pruningType': 'class-distribution'}",true-silence-34
36,"{'bleu': 0.2801020223971379, '_step': 0, '_wandb': {'runtime': 173}, '_runtime': 175.34327173233032, '_timestamp': 1698954051.6585848}","{'percentage': 0.23964098062185496, 'pruningType': 'class-distribution'}",vibrant-sky-33
37,"{'_timestamp': 1698953869.7110078, 'bleu': 0.28140175916511745, '_step': 0, '_wandb': {'runtime': 173}, '_runtime': 174.65309977531433}","{'percentage': 0.20075566037463644, 'pruningType': 'class-distribution'}",peach-pond-32
38,"{'bleu': 0.2817579996908573, '_step': 0, '_wandb': {'runtime': 174}, '_runtime': 175.64907598495483, '_timestamp': 1698953687.372189}","{'percentage': 0.1612735193723743, 'pruningType': 'class-distribution'}",pleasant-pine-31
39,"{'_wandb': {'runtime': 178}, '_runtime': 179.7129716873169, '_timestamp': 1698953505.0866446, 'bleu': 0.2829974759104786, '_step': 0}","{'percentage': 0.12127899977205576, 'pruningType': 'class-distribution'}",major-wind-30
40,"{'_wandb': {'runtime': 175}, '_runtime': 176.98136281967163, '_timestamp': 1698953001.2950218, 'bleu': 0.283290758860584, '_step': 0}","{'percentage': 0.04058831973362264, 'pruningType': 'class-distribution'}",elated-snowflake-28
